Id;Crea_Maj;Date
17690;1;2012-01-16
17700;1;2015-03-05
17703;1;2014-11-24
17714;1;2014-11-26
17721;1;2009-04-28
17745;1;2008-08-14
17750;1;2009-10-14
17882;1;2015-01-29
17886;1;2017-11-28
17888;1;2016-07-05
17890;1;2017-03-13
17892;1;2008-12-17
18122;1;2007-11-06
18131;1;2015-10-23
18139;1;2015-10-21
18143;1;2015-10-20
18183;1;2015-06-09
18251;1;2015-02-18
18271;1;2014-07-24
18280;1;2014-07-29
18291;1;2014-08-05
18296;1;2014-08-01
18496;1;2006-05-24
18500;1;2007-09-07
18739;1;2016-02-08
18741;1;2012-07-19
18759;1;2015-11-13
18760;1;2016-02-02
18764;1;2017-02-22
18768;1;2009-11-04
19120;1;2003-05-14
19167;1;2014-04-22
19169;1;2014-05-27
19171;1;2014-04-24
19172;1;2014-04-23
19185;1;2014-05-14
19191;1;2014-05-23
19206;1;2014-05-19
19215;1;2014-05-12
19226;1;2010-07-07
19228;1;2013-04-23
19251;1;2014-04-30
19253;1;2014-05-07
19278;1;2014-05-15
19281;1;2014-05-16
20311;1;2014-05-22
20601;1;2015-04-08
20668;1;2014-03-28
20790;1;2016-12-12
20794;1;2016-12-19
20806;1;2016-12-27
20808;1;2017-01-04
20816;1;2013-02-12
20827;1;2016-12-28
20849;1;2017-01-02
20877;1;2014-11-05
20971;1;2012-03-30
21004;1;2015-06-10
21164;1;2008-06-17
21168;1;2008-06-04
21169;1;2008-04-10
21174;1;2015-08-12
21175;1;2008-06-13
21177;1;2014-12-23
21180;1;2014-12-29
21186;1;2015-04-07
21187;1;2015-03-24
21353;1;2015-05-22
21552;1;2014-10-22
21560;1;2016-09-14
21562;1;2016-09-13
21911;1;2016-08-25
21971;1;2016-08-26
21981;1;2014-09-11
21994;1;2003-09-19
22001;1;2004-11-25
22002;1;2004-12-03
22053;1;2009-01-07
22140;1;2010-05-10
22144;1;2009-08-11
22157;1;2009-08-07
22166;1;2009-10-21
22171;1;2009-10-22
22187;1;2010-07-22
22198;1;2009-10-29
22272;1;2009-02-24
22371;1;2010-03-26
22442;1;2009-09-01
22485;1;2009-02-09
22625;1;2009-02-05
22650;1;2010-09-08
22673;1;2010-07-06
22688;1;2009-02-23
22700;1;2009-03-10
22710;1;2009-05-05
22736;1;2010-09-03
22772;1;2010-03-29
22923;1;2010-06-30
22981;1;2009-05-04
23110;1;2009-03-12
23805;1;2009-02-10
24769;1;2010-07-23
26371;1;2016-10-14
26373;1;2017-02-16
26377;1;2016-11-28
26379;1;2014-08-28
26380;1;2016-12-07
26388;1;2016-12-13
26424;1;2016-11-14
26426;1;2016-11-15
26453;1;2016-03-08
26465;1;2016-11-16
26783;1;2016-12-08
27375;1;2016-12-14
28701;1;2017-02-20
29155;1;2017-02-21
29315;1;2017-02-23
29507;1;2017-02-27
29537;1;2017-02-28
