Auteur;P1;Ecole_pays_1;P_Dates;Id
ARTIGAS FRANCISCO;Paris, 1950;;1950;11116
ARTIGE;;;;17075
ARTIGE FILS C;;;;15366
ARTIS;;;;17745
ARTISTES PAYSAGISTES;;;;33201
ARTISTIC;6, rue du cotentin, paris (75);;6-75;24898
ARTISTIQUE SUPRA;;;;29426
ARTS GRAPHIQUES;;;;15385
ARVET;;;;24727
ARY;;;;15312
ARYCHROME;;;;19249
ASCOLINI VASCO;Reggio d'emilie, 1937;ITALIE;1937;3773
ASPER;;;;26836
ASSALEIX;;;;36016
ASSO POL;;;;15336
ASSOCIATION SANITAIRE APICOLE DEPARTEMENTALE DE L'AISNE;;;;27476
ASTOIN A;;;;15135
ASTRUC A;;;;20737
AT;;;;17483
ATELIER BEATO;;;;3210
ATELIER D'ART PHOTOGRAPHIQUE;;;;25800
ATELIER DE JERSEY;;;;13963
ATGET EUGENE;Libourne, 1857, paris, 1927;FRANCE;1857-1927;1837
ATGET JEAN EUGENE AUGUSTE;;;;1839
ATKINSON;;;;8366
AUBAN PAUL CHARLES;;;;24648
AUBANEL FRERES;;;;33921
AUBERT;;;;11671
AUBERT ANDRE;Valence, 1946;FRANCE;1946;13325
AUBERT E;;;;36018
AUBERT F;;;;18880
AUBERT LETELLIER;;;;19458
AUBIN J;;;;8926
AUBRY;;;;27029
AUCLAIR;;;;14863
AUCLAIR G & A;;;;14805
AUDBERT;anvers, 1610, bruxelles, 1690;;1610-1690;18907
AUDISIO JACQUES;;;;13099
AUDRY;;;;18092
AUDY JONNY;;;;23930
AUGEROT J P;;;;15704
AUTARD GEORGES;Cannes, 1951;FRANCE;1951;33202
AUTOTYPE COMPANY;;GRANDE-BRETAGNE;;1116
AUTRAN;;;;15220
AUVIGNE;;;;15304
AUX VIEUX LIVRES;;;;17502
AUZOU;;;;32955
AUZOUX G;;;;32885
AYON YVE;;;;36019
AZUR;;;;15775
AZURCOLOR EDITIONS SARL;;;;36021
B & G;;;;15181
B B;;;;36031
B B J;;;;11469
B D;;;;24876
B F;B f chalon-sur-saône;FRANCE;;33211
B F S G;;;;14730
B I;;;;15281
B L D;;;;32884
B P;antibes, 1962, ?, ?, nationalité : française#layrac : monaco, 1962, ?, ?, nationalité : française#rohl : nice, 1962, ?, ?, nationalité : française;;1962-1962-1962;11983
B R;;;;27015
B V;;;;20145
BACHELET EMILE JUST;;;;24631
BACOT EDMOND;Caen, 1814, caen, 1875;FRANCE;1814-1875;13960
BACRO JEAN CHARLES;Paris, 1955, ?, 1990;FRANCE;1955-1990;1427
BADEN PRITCHARD HENRY;;;;3961
BAFFIER JEAN EUGENE;neuvy-le-barrois (18), 1851, novembre 18, paris (75), 1920, avril 19;FRANCE;18-1851-18-75-1920-19;9515
BAILLE;;;;15189
BAILLE LEON;;;;18987
BAILLEUX;;;;14626
BAILLY H;;;;24993
BAILLY LUCIEN;1881, 1975;;1881-1975;33212
BAILLY MAITRE GRAND PATRICK;Paris, 1945;FRANCE;1945;1392
BALDUS EDOUARD DENIS;Grünebach, 1813, arcueil, 1889;FRANCE,ALLEMAGNE;1813-1889;1844
BALLET F;;;;13587
BALLU A;;;;13558
BALLY THEODORE;Säckingen (suisse), 1896, montreux (suisse), 1975, nationalité suisse;SUISSE;1896-1975;13731
BALNY R;;;;17786
BALTHASAR;Niederbronn-les-bains, 1890, sarrebourg, 1965;FRANCE;1890-1965;4032
BALTZ LEWIS;Newport beach, 1945;ETATS-UNIS;1945;11446
BALZER DIETER;Neuhofen (autriche), 1958, nationalité autrichienne;AUTRICHE;1958;13832
BANET GILLES;?, 1954;;1954;11185
BAQUIE RICHARD;marseille, 1952, marseille, 1996, nationalité : française;;1952-1996;11966
BAR MARIUS;;;;15940
BARAT J B;;;;20306
BARBE;;;;11756
BARBERIS ROSINE;;;;16738
BARBIER;;;;20987
BARBIER PETIT RENE;Chantilly, 1905, chantilly, 1995, photographe à chantilly;FRANCE;1905-1995;1302
BARCLAY PER;Trondheim, 1955;NORVEGE;1955;33512
BARDAY;;;;12470
BARDET L;;;;20166
BARDOU A;;;;19125
BARENNE CHARLES;?, 19e siècle, ?, ?#audy : actif 1840-1880.;;19-1840-1880;23930
BARKANOFF VLADIMIR;?, ?, ?, ?;;;12743
BARNAUD F;;;;11611
BARNOUIN;;;;16003
BARRADIS CL H;;;;20744
BARRAL & FILS;1808, 1888;;1808-1888;18936
BARRAL E;;;;33721
BARRAST;;;;27111
BARRAST E;;;;27103
BARRE M & DAYEZ J;;;;27876
BARREAU J;J. barreau, paris, agenda p.l.m. 1926;FRANCE;1926;33513
BARRIER A;;FRANCE;;12
BARTESAGO;Bartesago 7 rue des marchands avignon, r. guilleminot, boespflug et cie. paris;FRANCE;7;33516
BARTHE F;;;;17581
BARTHELEMY;;;;2850
BARTHELEMY MARIA;;;;11211
BARUZZI F OSTAL;;;;15905
BARYELON;;;;18298
BASILIQUE NOTRE DAME DE LA GARDE;Edition spéciale de la basilique;;;19010
BASSANO ALEXANDER;londres, 1829, londres, 1913, photographe actif en 1860 en grande-bretagne;;1829-1913-1860;24121
BASUYAU HENRI;;;;13584
BASUYAU HENRI & CIE;;;;17602
BATAILLE;;;;14371
BATHO CLAUDE;Chamalières, 1935, paris, 1981, femme;FRANCE;1935-1981;1383
BATHO JOHN;normandie, 1939, ?, ?, nationalité : française, anglaise;FRANCE,GRANDE-BRETAGNE;1939;11516
BATZ EUGEN;Velbert, 1905, wuppertal, 1986;ALLEMAGNE;1905-1986;13195
BAUDART LOUIS;reims, ?, ?, ?, nationalité : française;CHAMPAGNE;;33526
BAUDE ERIC;;;;9789
BAUDEL;;;;17629
BAUDELAIRE A COLAS;;;;3036
BAUDELAIRE ALFRED COLAS;peintre & photographe de la cour d'autriche. 31, rue de la barre, lille.;;31;8870
BAUDINIERE;;;;12303
BAUDOIN E;;;;9121
BAUDOUIN;;;;15213
BAUDOUIN VINCENT;;;;15149
BAUDRY LEON GEORGES;;;;11585
BAUDRY PAUL;;;;90
BAUER LOUYS;Indiqué comme imprimeur typographe dans l'annuaire fournier en 1906, situé au 12 rue turgot. en 1920-1921, son atelier est installé 1 boulevard voltaire. en 1930 et 1934, il habite au 128 rue d'auxonne, alors que son atelier est toujours situé boulevard voltaire. il n'est plus indiqué dans l'annuaire de 1938, et l'annuaire de 1939 signale que son épouse est veuve. ,;;1906-12-1920-1921-1-1930-1934-128-1938-1939;8567
BAUER LOUYS & CIE;;;;25217
BAUER MARCHET;;;;25946
BAUER MARCHET & CIE;Dijon (côte-d'or - 21);;21;24885
BAUER MARCHET ET CIE;les marchet sont des imprimeurs dijonnais actifs à partir des années 1850. au début du xxe siècle, ils s'associent avec louys bauer.;FRANCE;1850;33528
BAUMONT;;;;24540
BAVCAR EVGEN;Ljubljana (yougoslavie (avant 1991)), 1946;;1991-1946;11191
BAY DIDIER;Beauchamp (val-d'oise), 1944;;1944;11051
BAYARD & BERTALL;photographes. bayard (1801 - 1887), bertall (1820 - 1882). 15 b, rue de la madelaine, paris#bertall : photographe. rue boissy d'anglas, 33. ancienne rue de la madeleine.;;1801-1887-1820-1882-15-33;8758
BAYARD EMILE ANTOINE;la ferté-sous-jouarre, 1837, le caire, 1891, hansi : colmar, 1873, colmar, 1951;;1837-1891-1873-1951;25189
BAYARD HIPPOLYTE;Breteuil, 1801, nemours, 1887;FRANCE;1801-1887;1845
BAYER HERBERT;Haag, 1900, santa barbara, 1985;ETATS-UNIS,AUTRICHE;1900-1985;13210
BAYLONE FRERES;;;;15987
BAZAR DES NOUVELLES GALERIES;;;;14735
BAZARS TERRE;;;;35778
BAZIN PHILIPPE;france, 1954, nationalité : française;;1954;11958
BAZON L;;;;14353
BEAL A FILS;;;;14375
BEASLEY BECKY;Portsmouth (royaume-uni), 1975, femme;;1975;11397
BEATO FELICE;venise, 1835, mandalay, 1903, nationalité :royaume-uni en 1856, italie (à la naissance);ROYAUME-UNI,ITALIE;1835-1903-1856;3127
BEAU ADOLPHE;Photographe à londres;FRANCE,GRANDE-BRETAGNE;;15
BEAU F;Botinelly louis (1883-1962);;1883-1962;24609
BEAU M F;;;;17835
BEAUDOUIN EUGENE;peintre, photographe. 30, passage du commerce. amiens.;;30;8731
BEAUME PLUVINEL DE LA M;;;;16659
BEAUMEL E;;;;16979
BEAUMONT E;;;;18988
BEC GILLES;Juvisy-sur-orge, 1955;FRANCE;1955;9959
BECARUD;;;;15223
BECHER BERND ET HILLA;;;;13743
BECKER ECHIVARD ANNE CATHERINE;?, 20e s., 3e tiers, ?, ?, femme;FRANCE, ALLEMAGNE;20-3;11599
BECKLEY BILL;Hambourg, 1942;ETATS-UNIS;1942;10577
BECKMANN H;;;;15295
BECQUEREAU CHARLES;photographe au 42 rue de valbelle, à saint-omer.;;42;8939
BEFORT DUPUIS;;;;12421
BEGAUD PIERRE ALBERT;;;;8436
BEGUET SERGE;Lyon (rhône), 1963;;1963;11165
BEGUIN;;;;14736
BEGUIN F;;;;19872
BEGUIN FILS;;;;14730
BEGULE LUCIEN;? 10 mai 1848, ? 2 février 1935;;10-1848-2-1935;12667
BEHLES EDMUND;;;;35618
BELBEDER;Éditeur à soissons;;;27064
BELFRANCE;;;;19464
BELILE EDOUARD;?, 1879, ?, 1960;;1879-1960;8629
BELIN VALERIE;Boulogne-billancourt, 1964, femme;FRANCE;1964;10262
BELINO;;;;33659
BELLANCE CL;;;;16531
BELLANGE HIPPOLYTE;;;;812
BELLE;;;;8454
BELLMER HANS;Kattowicz, 1902, paris, 1975;ALLEMAGNE;1902-1975;13211
BELLON RICHARD;;;;11984
BELLOT;;;;12407
BELLOTTI;?, 1829, ?, 1898;;1829-1898;8478
BELLUSCI ROSSELLA;San lorenzo (italie), 1947, femme;;1947;11137
BELON JOSE;;;;18924
BENARD;;;;17272
BENCHAMMA ABDELKADER;;;;9516
BENOIT A LA GUILLAUME GERARD;;;;26045
BENOIT FILS;;;;16154
BENOIT J;;;;16195
BENQUE & CIE;Actif à paris au 33 rue boissy d'anglas à paris, actif dans les années 1880-1890, wilhem benque, klary et kneubuhler associés sous le nom benque et cie;FRANCE;33-1880-1890;26254
BENSON P;P benson. edit. avignon;;;33660
BERANNEAU;;;;27826
BERARD;;;;24696
BERARDI;;;;13680
BERAUD A;;;;17009
BERAUD E;E. béraud - 9, rue ebelmen et  89, rue de reuilly paris xiiè;;9-89;26445
BERAUD JEAN;;;;24634
BERGER;Paul berger (18., 19.), photographe de portraits;;18-19;25066
BERGER FRERES;;;;9838
BERGER H & CIE;;;;16547
BERGERET ALBERT & CIE;;;;15323
BERGERET HENRI;1886, 1959;;1886-1959;26192
BERGES PERE & FILS;;;;17901
BERGEVIN RAYMOND;;;;19506
BERKA LADISLAS EMIL;Prague, 1907, ?, 1992;TCHECOSLOVAQUIE;1907-1992;13212
BERLIZOT;;;;14319
BERMANN JOSEPH;;;;24054
BERNARD;;;;17215
BERNARD A;Photographe à chantilly;;;563
BERNARD JEAN;;;;16981
BERNARD PH;;;;14657
BERNARD REYMOND MATHIEU;gap, 1976, ?, ?, nationalité : française;;1976;11965
BERNARD VALERE;;;;18379
BERNART CHARLES;Prisonnier de guerre en allemagne;;;25063
BERNAY L;;;;20263
BERNES MAROUTEAU & CIE;photographes, 36, avenue de chatillon, paris 14e#saintin : lemée, 1829, paris, 1894;;36-14-1829-1894;8962
BERNHARDT SARAH;;;;8487
BERNOUD ALPHONSE;;;;24072
