Id;Crea_Maj;Date
8108;1;2016-05-13
8110;1;2016-05-24
8112;1;2017-11-17
8116;1;2017-06-23
8120;1;2017-05-02
8134;1;2007-12-18
8186;1;2008-11-10
8197;1;1999-05-31
8213;1;1999-07-30
8220;1;2008-05-07
8227;1;2008-05-16
8250;1;2008-05-06
8277;1;2008-05-14
8280;1;2008-05-15
8469;1;2013-03-25
8470;1;2011-06-22
8480;1;2002-09-25
8634;1;2017-05-11
8638;1;2011-01-17
8640;1;2013-10-18
8684;1;2017-05-16
8686;1;2017-12-27
8692;1;2017-12-28
8712;1;2017-12-29
8718;1;2009-11-04
8747;1;2017-11-23
8749;1;2011-03-15
8752;1;2011-03-16
8764;1;2013-01-30
8765;1;2013-01-28
8780;1;2015-06-26
8794;1;2014-10-24
8806;1;2014-11-04
8811;1;2014-10-23
8816;1;2014-11-05
8822;1;2017-01-02
8824;1;2017-01-04
8826;1;2016-12-19
8828;1;2015-06-10
8831;1;2016-12-27
8883;1;2016-12-26
8887;1;2016-12-08
8943;1;2016-12-28
9023;1;2016-12-12
9168;1;2008-01-28
9269;1;2015-03-30
9270;1;2015-08-19
9277;1;2008-06-17
9279;1;2013-08-15
9281;1;2015-06-04
9295;1;2008-01-23
9468;1;2015-08-20
9491;1;2013-08-28
9501;1;2015-06-05
9523;1;2008-06-13
9571;1;2015-08-21
9619;1;2015-08-26
9623;1;2014-12-22
9637;1;2014-12-23
9726;1;2003-07-31
9727;1;2003-08-01
9747;1;2014-12-29
9780;1;2016-08-10
9782;1;2016-10-19
9784;1;2017-11-15
9786;1;2016-07-04
10130;1;2015-05-22
10265;1;2015-04-15
10272;1;2015-04-23
10386;1;2014-09-11
10387;1;2014-09-17
10397;1;2014-09-19
10413;1;2004-11-23
10480;1;2014-08-28
10505;1;2014-08-29
10514;1;2014-10-07
10528;1;2002-06-21
10551;1;2003-01-22
10833;1;2013-12-05
10837;1;2013-05-29
10846;1;1999-08-11
11085;1;2008-09-09
11086;1;2008-09-03
11089;1;2008-09-04
11093;1;2008-09-11
11197;1;2008-09-10
11209;1;2008-09-02
11834;1;2015-07-03
11835;1;2015-07-06
11838;1;2015-07-07
11839;1;2002-06-06
11897;1;2002-01-16
11899;1;2003-04-30
11901;1;2010-02-23
11910;1;2003-05-09
11918;1;2010-09-30
11921;1;2003-04-22
11998;1;2011-02-22
11999;1;2010-09-09
12001;1;2010-09-28
12003;1;2010-09-27
12007;1;2010-08-30
12024;1;2010-01-26
12032;1;2011-02-11
12040;1;2011-06-08
12041;1;2017-10-05
12043;1;2017-10-06
12047;1;2002-10-18
12063;1;2004-10-18
12066;1;2014-05-13
12081;1;2015-11-26
12082;1;2014-09-30
12094;1;2012-05-14
12096;1;2016-06-13
12118;1;2014-04-16
12130;1;2015-09-01
12137;1;2017-10-16
12145;1;2017-08-10
12183;1;2017-08-11
12187;1;2017-08-22
12223;1;2017-04-27
12251;1;2017-05-10
12296;1;2003-04-29
12304;1;2006-03-06
12306;1;2014-11-28
12390;1;2014-11-26
12434;1;2014-11-27
12437;1;2006-09-04
12439;1;2006-09-01
12440;1;2006-09-05
12445;1;2006-09-06
12449;1;2007-01-09
12473;1;2005-08-25
12474;1;2005-08-23
12593;1;2007-08-16
12594;1;2002-11-19
12601;1;2003-06-06
12623;1;2007-06-25
12624;1;2009-07-02
12640;1;2003-04-28
12645;1;2013-12-17
12649;1;2013-12-16
12651;1;2003-07-03
